abarth,ABARTH
aixam,AIXAM
alfa-romeo,ALFA ROMEO
alpine,ALPINE
aston-martin,ASTON MARTIN
audi,AUDI
austin,AUSTIN
austin-morris,AUSTIN MORRIS
bentley,BENTLEY
bmw,BMW
buick,BUICK
cadillac,CADILLAC
chevrolet,CHEVROLET
chevrolet-gmc,CHEVROLET GMC
chrysler,CHRYSLER
citroen,CITROEN
coleman-milne,COLEMAN MILNE
cupra,CUPRA
dacia,DACIA
daewoo,DAEWOO
daihatsu,DAIHATSU
daimler,DAIMLER
datsun,DATSUN
dmc,DMC
dodge,DODGE
ds,DS
ferrari,FERRARI
fiat,FIAT
ford,FORD
hillman,HILLMAN
honda,HONDA
humber,HUMBER
hyundai,HYUNDAI
infiniti,INFINITI
isuzu,ISUZU
iveco,IVECO
jaguar,JAGUAR
jeep,JEEP
jensen,JENSEN
kia,KIA
lamborghini,LAMBORGHINI
lancia,LANCIA
land-rover,LAND ROVER
lexus,LEXUS
leyland-cars,LEYLAND CARS
lotus,LOTUS
maserati,MASERATI
mazda,MAZDA
mcc,MCC
mclaren,MCLAREN
mercedes,MERCEDES
mg,MG
microcar,MICROCAR
mini,MINI
mitsubishi,MITSUBISHI
morgan,MORGAN
morris,MORRIS
nissan,NISSAN
opel,OPEL
perodua,PERODUA
peugeot,PEUGEOT
polestar,POLESTAR
pontiac,PONTIAC
porsche,PORSCHE
proton,PROTON
reliant,RELIANT
renault,RENAULT
reva,REVA
riley,RILEY
rolls-royce,ROLLS ROYCE
rover,ROVER
saab,SAAB
seat,SEAT
singer,SINGER
skoda,SKODA
smart,SMART
ssangyong,SSANGYONG
subaru,SUBARU
sunbeam,SUNBEAM
suzuki,SUZUKI
talbot,TALBOT
tesla,TESLA
toyota,TOYOTA
triumph,TRIUMPH
tvr,TVR
vanden-plas,VANDEN PLAS
vauxhall,VAUXHALL
volkswagen,VOLKSWAGEN
volvo,VOLVO
wolseley,WOLSELEY